datetime,전자화배전반의 관리소 인입 전력량,히터1 전력 사용량,히터1 가스 사용량
2023-01-01 00:00:00,489.72,146.65,87.89
2023-01-01 01:00:00,368.16,136.04,67.08
2023-01-01 02:00:00,317.79,81.34,57.32
2023-01-01 03:00:00,386.03,135.89,95.33
2023-01-01 04:00:00,388.67,125.51,55.13
2023-01-01 05:00:00,492.68,127.2,66.6
2023-01-01 06:00:00,369.42,148.98,94.75
2023-01-01 07:00:00,314.39,141.56,65.73
2023-01-01 08:00:00,488.25,146.29,94.18
2023-01-01 09:00:00,434.96,145.69,98.5
2023-01-01 10:00:00,404.32,107.48,71.18
2023-01-01 11:00:00,484.51,136.78,97.73
2023-01-01 12:00:00,330.56,145.66,59.09
2023-01-01 13:00:00,479.89,123.6,60.13
2023-01-01 14:00:00,317.4,147.27,80.86
2023-01-01 15:00:00,374.15,143.99,97.47
2023-01-01 16:00:00,319.86,144.52,80.92
2023-01-01 17:00:00,370.4,127.1,58.23
2023-01-01 18:00:00,412.24,144.97,58.57
2023-01-01 19:00:00,455.53,124.98,64.63
2023-01-01 20:00:00,465.47,141.85,61.8
2023-01-01 21:00:00,340.3,82.66,71.48
2023-01-01 22:00:00,305.49,123.97,92.94
2023-01-01 23:00:00,415.32,132.0,98.67
2023-01-02 00:00:00,447.69,142.28,94.68
2023-01-02 01:00:00,341.99,132.67,82.87
2023-01-02 02:00:00,428.03,104.79,78.3
2023-01-02 03:00:00,381.4,118.44,95.87
2023-01-02 04:00:00,401.83,147.65,61.34
2023-01-02 05:00:00,301.47,121.76,90.77
2023-01-02 06:00:00,406.53,87.69,90.99
2023-01-02 07:00:00,324.02,145.36,97.59
2023-01-02 08:00:00,327.0,101.72,76.88
2023-01-02 09:00:00,429.71,129.08,72.27
2023-01-02 10:00:00,483.17,93.34,58.96
2023-01-02 11:00:00,446.89,86.61,61.38
2023-01-02 12:00:00,303.63,94.1,59.88
2023-01-02 13:00:00,433.76,89.27,64.92
2023-01-02 14:00:00,419.12,149.48,72.01
2023-01-02 15:00:00,364.03,120.93,91.71
2023-01-02 16:00:00,410.4,133.74,57.34
2023-01-02 17:00:00,330.92,137.7,68.67
2023-01-02 18:00:00,487.44,144.57,97.31
2023-01-02 19:00:00,494.99,100.17,69.03
2023-01-02 20:00:00,303.2,102.71,91.61
2023-01-02 21:00:00,418.33,135.2,88.94
2023-01-02 22:00:00,485.6,105.09,55.18
2023-01-02 23:00:00,466.12,98.09,56.47
2023-01-03 00:00:00,342.21,145.77,52.76
2023-01-03 01:00:00,466.56,148.19,79.87
2023-01-03 02:00:00,425.93,97.75,65.84
2023-01-03 03:00:00,326.81,101.24,93.76
2023-01-03 04:00:00,360.21,113.64,80.92
2023-01-03 05:00:00,368.69,137.57,95.56
2023-01-03 06:00:00,386.63,108.21,93.17
2023-01-03 07:00:00,405.12,127.93,59.32
2023-01-03 08:00:00,391.86,101.4,61.65
2023-01-03 09:00:00,409.37,149.84,82.85
2023-01-03 10:00:00,356.19,92.66,53.65
2023-01-03 11:00:00,303.14,104.25,82.34
2023-01-03 12:00:00,462.71,96.8,73.26
2023-01-03 13:00:00,359.27,90.88,68.67
2023-01-03 14:00:00,311.12,94.1,57.13
2023-01-03 15:00:00,375.31,129.98,97.82
2023-01-03 16:00:00,466.44,118.5,56.38
2023-01-03 17:00:00,447.2,123.26,73.04
2023-01-03 18:00:00,460.28,97.42,97.81
2023-01-03 19:00:00,451.3,84.03,78.96
2023-01-03 20:00:00,345.07,103.88,85.73
2023-01-03 21:00:00,358.78,140.57,73.36
2023-01-03 22:00:00,305.42,84.11,76.79
2023-01-03 23:00:00,383.95,101.68,73.28
2023-01-04 00:00:00,333.57,97.43,55.43
2023-01-04 01:00:00,329.58,144.11,69.04
2023-01-04 02:00:00,482.43,88.76,54.13
2023-01-04 03:00:00,422.46,92.23,65.18
2023-01-04 04:00:00,487.92,137.89,82.19
2023-01-04 05:00:00,329.91,89.1,70.07
2023-01-04 06:00:00,443.17,107.63,64.83
2023-01-04 07:00:00,389.41,103.96,74.24
2023-01-04 08:00:00,392.62,122.68,51.13
2023-01-04 09:00:00,433.68,148.61,87.35
2023-01-04 10:00:00,315.09,89.78,51.97
2023-01-04 11:00:00,323.29,118.1,66.95
2023-01-04 12:00:00,343.95,128.16,96.75
